Source;Target;Type;Weight
894;848;Undirected;1
835;834;Undirected;1
774;738;Undirected;1
413;499;Undirected;1
651;656;Undirected;1
578;520;Undirected;1
586;563;Undirected;1
17;76;Undirected;1
40;7;Undirected;1
944;950;Undirected;1
661;697;Undirected;1
661;615;Undirected;1
939;956;Undirected;1
153;112;Undirected;1
631;698;Undirected;1
897;827;Undirected;1
839;465;Undirected;1
618;606;Undirected;1
837;817;Undirected;1
684;636;Undirected;1
277;273;Undirected;1
451;457;Undirected;1
836;841;Undirected;1
403;409;Undirected;1
723;773;Undirected;1
320;170;Undirected;1
658;638;Undirected;1
844;875;Undirected;1
439;468;Undirected;1
733;737;Undirected;1
72;36;Undirected;1
459;448;Undirected;1
826;832;Undirected;1
549;508;Undirected;1
902;920;Undirected;1
355;309;Undirected;1
849;830;Undirected;1
332;395;Undirected;1
67;65;Undirected;1
30;52;Undirected;1
879;893;Undirected;1
92;86;Undirected;1
522;588;Undirected;1
469;485;Undirected;1
733;772;Undirected;1
214;283;Undirected;1
400;394;Undirected;1
940;951;Undirected;1
368;539;Undirected;1
372;367;Undirected;1
409;477;Undirected;1
681;636;Undirected;1
557;538;Undirected;1
124;135;Undirected;1
310;359;Undirected;1
20;800;Undirected;1
8;49;Undirected;1
537;584;Undirected;1
164;144;Undirected;1
107;80;Undirected;1
863;850;Undirected;1
402;405;Undirected;1
209;874;Undirected;1
455;478;Undirected;1
482;410;Undirected;1
136;185;Undirected;1
249;231;Undirected;1
173;175;Undirected;1
430;500;Undirected;1
308;659;Undirected;1
542;523;Undirected;1
382;388;Undirected;1
905;901;Undirected;1
71;98;Undirected;1
840;856;Undirected;1
202;277;Undirected;1
8;89;Undirected;1
368;310;Undirected;1
645;611;Undirected;1
741;747;Undirected;1
997;987;Undirected;1
119;186;Undirected;1
211;271;Undirected;1
921;378;Undirected;1
849;890;Undirected;1
421;492;Undirected;1
945;927;Undirected;1
979;537;Undirected;1
455;458;Undirected;1
1;20;Undirected;1
496;486;Undirected;1
719;708;Undirected;1
671;686;Undirected;1
953;990;Undirected;1
290;220;Undirected;1
231;297;Undirected;1
549;540;Undirected;1
479;411;Undirected;1
701;746;Undirected;1
90;43;Undirected;1
572;566;Undirected;1
690;630;Undirected;1
715;749;Undirected;1
869;815;Undirected;1
102;119;Undirected;1
249;264;Undirected;1
609;610;Undirected;1
1000;930;Undirected;1
383;352;Undirected;1
335;317;Undirected;1
655;718;Undirected;1
391;304;Undirected;1
37;22;Undirected;1
815;848;Undirected;1
928;951;Undirected;1
800;798;Undirected;1
361;365;Undirected;1
10;32;Undirected;1
969;932;Undirected;1
791;798;Undirected;1
262;276;Undirected;1
221;224;Undirected;1
759;711;Undirected;1
337;382;Undirected;1
9;2;Undirected;1
888;449;Undirected;1
673;636;Undirected;1
591;550;Undirected;1
616;695;Undirected;1
366;393;Undirected;1
794;784;Undirected;1
569;524;Undirected;1
736;725;Undirected;1
522;506;Undirected;1
942;981;Undirected;1
317;397;Undirected;1
615;657;Undirected;1
411;780;Undirected;1
134;145;Undirected;1
681;981;Undirected;1
302;308;Undirected;1
868;881;Undirected;1
565;575;Undirected;1
877;897;Undirected;1
146;189;Undirected;1
817;805;Undirected;1
578;324;Undirected;1
156;179;Undirected;1
374;393;Undirected;1
900;833;Undirected;1
80;53;Undirected;1
695;650;Undirected;1
961;909;Undirected;1
21;26;Undirected;1
769;737;Undirected;1
950;987;Undirected;1
448;407;Undirected;1
234;231;Undirected;1
86;8;Undirected;1
982;499;Undirected;1
193;189;Undirected;1
817;873;Undirected;1
799;962;Undirected;1
942;959;Undirected;1
697;291;Undirected;1
488;452;Undirected;1
551;546;Undirected;1
293;214;Undirected;1
818;834;Undirected;1
841;894;Undirected;1
387;362;Undirected;1
383;350;Undirected;1
857;819;Undirected;1
750;735;Undirected;1
427;449;Undirected;1
502;590;Undirected;1
56;61;Undirected;1
988;992;Undirected;1
481;493;Undirected;1
354;332;Undirected;1
82;52;Undirected;1
488;498;Undirected;1
53;4;Undirected;1
647;672;Undirected;1
439;413;Undirected;1
618;627;Undirected;1
357;345;Undirected;1
952;936;Undirected;1
28;31;Undirected;1
677;645;Undirected;1
358;337;Undirected;1
257;272;Undirected;1
401;446;Undirected;1
363;763;Undirected;1
34;49;Undirected;1
154;132;Undirected;1
694;612;Undirected;1
347;304;Undirected;1
654;608;Undirected;1
999;994;Undirected;1
948;969;Undirected;1
306;324;Undirected;1
141;190;Undirected;1
651;692;Undirected;1
147;133;Undirected;1
202;258;Undirected;1
114;194;Undirected;1
766;713;Undirected;1
44;7;Undirected;1
698;118;Undirected;1
407;358;Undirected;1
795;707;Undirected;1
607;697;Undirected;1
467;461;Undirected;1
12;3;Undirected;1
555;544;Undirected;1
434;461;Undirected;1
901;928;Undirected;1
990;978;Undirected;1
748;709;Undirected;1
420;481;Undirected;1
623;691;Undirected;1
837;806;Undirected;1
786;762;Undirected;1
55;21;Undirected;1
705;708;Undirected;1
604;605;Undirected;1
83;34;Undirected;1
714;784;Undirected;1
552;501;Undirected;1
992;921;Undirected;1
962;928;Undirected;1
927;999;Undirected;1
51;10;Undirected;1
794;777;Undirected;1
861;847;Undirected;1
370;366;Undirected;1
785;744;Undirected;1
502;543;Undirected;1
320;336;Undirected;1
971;986;Undirected;1
341;528;Undirected;1
594;540;Undirected;1
155;154;Undirected;1
457;653;Undirected;1
138;112;Undirected;1
292;266;Undirected;1
167;769;Undirected;1
155;167;Undirected;1
705;743;Undirected;1
244;269;Undirected;1
621;684;Undirected;1
176;130;Undirected;1
49;913;Undirected;1
527;533;Undirected;1
689;629;Undirected;1
52;42;Undirected;1
14;38;Undirected;1
931;918;Undirected;1
162;159;Undirected;1
898;833;Undirected;1
96;66;Undirected;1
293;228;Undirected;1
19;73;Undirected;1
105;915;Undirected;1
421;483;Undirected;1
340;325;Undirected;1
510;559;Undirected;1
261;260;Undirected;1
928;985;Undirected;1
627;616;Undirected;1
577;580;Undirected;1
638;601;Undirected;1
382;390;Undirected;1
967;998;Undirected;1
881;833;Undirected;1
354;304;Undirected;1
698;685;Undirected;1
647;640;Undirected;1
90;87;Undirected;1
562;543;Undirected;1
768;765;Undirected;1
932;904;Undirected;1
361;355;Undirected;1
519;598;Undirected;1
40;69;Undirected;1
470;401;Undirected;1
337;37;Undirected;1
943;1000;Undirected;1
367;307;Undirected;1
576;540;Undirected;1
221;237;Undirected;1
534;547;Undirected;1
852;822;Undirected;1
853;900;Undirected;1
643;653;Undirected;1
727;739;Undirected;1
15;50;Undirected;1
396;361;Undirected;1
16;70;Undirected;1
388;828;Undirected;1
463;474;Undirected;1
744;740;Undirected;1
94;16;Undirected;1
274;217;Undirected;1
449;459;Undirected;1
442;441;Undirected;1
174;179;Undirected;1
719;728;Undirected;1
24;8;Undirected;1
115;873;Undirected;1
964;285;Undirected;1
540;536;Undirected;1
964;903;Undirected;1
187;172;Undirected;1
577;581;Undirected;1
330;314;Undirected;1
58;48;Undirected;1
756;728;Undirected;1
182;178;Undirected;1
136;193;Undirected;1
219;227;Undirected;1
81;8;Undirected;1
743;787;Undirected;1
171;199;Undirected;1
381;382;Undirected;1
804;837;Undirected;1
88;54;Undirected;1
184;160;Undirected;1
743;766;Undirected;1
289;288;Undirected;1
411;428;Undirected;1
772;780;Undirected;1
830;897;Undirected;1
216;280;Undirected;1
79;38;Undirected;1
616;650;Undirected;1
96;54;Undirected;1
186;228;Undirected;1
494;469;Undirected;1
256;250;Undirected;1
563;532;Undirected;1
786;781;Undirected;1
742;747;Undirected;1
894;812;Undirected;1
958;979;Undirected;1
22;58;Undirected;1
675;663;Undirected;1
956;919;Undirected;1
56;13;Undirected;1
763;769;Undirected;1
970;942;Undirected;1
886;852;Undirected;1
485;454;Undirected;1
177;179;Undirected;1
767;760;Undirected;1
251;285;Undirected;1
33;11;Undirected;1
757;771;Undirected;1
751;422;Undirected;1
36;15;Undirected;1
337;361;Undirected;1
584;552;Undirected;1
939;970;Undirected;1
893;863;Undirected;1
805;846;Undirected;1
585;552;Undirected;1
364;309;Undirected;1
818;839;Undirected;1
497;455;Undirected;1
847;813;Undirected;1
648;633;Undirected;1
986;966;Undirected;1
46;57;Undirected;1
528;543;Undirected;1
639;601;Undirected;1
322;233;Undirected;1
513;515;Undirected;1
633;686;Undirected;1
277;256;Undirected;1
583;579;Undirected;1
357;398;Undirected;1
882;733;Undirected;1
387;371;Undirected;1
48;89;Undirected;1
396;346;Undirected;1
855;889;Undirected;1
409;478;Undirected;1
744;733;Undirected;1
311;322;Undirected;1
514;291;Undirected;1
56;612;Undirected;1
411;408;Undirected;1
168;141;Undirected;1
307;360;Undirected;1
208;223;Undirected;1
866;816;Undirected;1
709;748;Undirected;1
130;162;Undirected;1
740;745;Undirected;1
13;20;Undirected;1
731;733;Undirected;1
525;597;Undirected;1
689;645;Undirected;1
760;771;Undirected;1
912;961;Undirected;1
534;516;Undirected;1
792;705;Undirected;1
842;831;Undirected;1
986;938;Undirected;1
633;631;Undirected;1
937;904;Undirected;1
90;14;Undirected;1
894;896;Undirected;1
646;642;Undirected;1
363;365;Undirected;1
368;356;Undirected;1
747;782;Undirected;1
335;890;Undirected;1
638;617;Undirected;1
976;978;Undirected;1
842;823;Undirected;1
609;295;Undirected;1
263;227;Undirected;1
403;418;Undirected;1
816;851;Undirected;1
609;640;Undirected;1
706;788;Undirected;1
603;668;Undirected;1
748;742;Undirected;1
332;343;Undirected;1
657;610;Undirected;1
828;855;Undirected;1
247;259;Undirected;1
7;12;Undirected;1
106;134;Undirected;1
308;406;Undirected;1
437;495;Undirected;1
638;640;Undirected;1
931;916;Undirected;1
464;447;Undirected;1
960;955;Undirected;1
405;414;Undirected;1
246;220;Undirected;1
46;82;Undirected;1
560;600;Undirected;1
156;150;Undirected;1
666;637;Undirected;1
343;325;Undirected;1
497;476;Undirected;1
286;550;Undirected;1
100;43;Undirected;1
559;552;Undirected;1
471;406;Undirected;1
236;279;Undirected;1
240;295;Undirected;1
933;955;Undirected;1
593;578;Undirected;1
762;701;Undirected;1
563;503;Undirected;1
967;962;Undirected;1
812;827;Undirected;1
342;359;Undirected;1
506;587;Undirected;1
748;763;Undirected;1
225;228;Undirected;1
572;596;Undirected;1
656;644;Undirected;1
823;840;Undirected;1
174;122;Undirected;1
13;3;Undirected;1
851;892;Undirected;1
829;807;Undirected;1
342;404;Undirected;1
923;319;Undirected;1
161;115;Undirected;1
533;594;Undirected;1
291;218;Undirected;1
829;840;Undirected;1
712;792;Undirected;1
610;634;Undirected;1
153;63;Undirected;1
109;155;Undirected;1
418;417;Undirected;1
285;280;Undirected;1
401;499;Undirected;1
353;325;Undirected;1
770;753;Undirected;1
559;918;Undirected;1
982;964;Undirected;1
167;197;Undirected;1
277;221;Undirected;1
50;559;Undirected;1
346;891;Undirected;1
847;802;Undirected;1
865;886;Undirected;1
482;961;Undirected;1
570;515;Undirected;1
611;584;Undirected;1
490;437;Undirected;1
960;902;Undirected;1
791;745;Undirected;1
3;15;Undirected;1
451;412;Undirected;1
47;41;Undirected;1
924;916;Undirected;1
449;418;Undirected;1
41;43;Undirected;1
165;25;Undirected;1
775;783;Undirected;1
35;14;Undirected;1
666;695;Undirected;1
733;719;Undirected;1
53;21;Undirected;1
152;460;Undirected;1
184;43;Undirected;1
404;484;Undirected;1
197;137;Undirected;1
904;994;Undirected;1
136;185;Undirected;1
298;275;Undirected;1
759;711;Undirected;1
839;826;Undirected;1
401;455;Undirected;1
169;184;Undirected;1
767;739;Undirected;1
402;405;Undirected;1
232;266;Undirected;1
99;46;Undirected;1
351;349;Undirected;1
286;241;Undirected;1
635;634;Undirected;1
946;997;Undirected;1
48;66;Undirected;1
358;309;Undirected;1
84;8;Undirected;1
767;799;Undirected;1
519;538;Undirected;1
601;696;Undirected;1
263;261;Undirected;1
878;847;Undirected;1
290;240;Undirected;1
341;307;Undirected;1
657;616;Undirected;1
300;270;Undirected;1
245;296;Undirected;1
885;836;Undirected;1
875;826;Undirected;1
956;920;Undirected;1
509;567;Undirected;1
462;472;Undirected;1
300;999;Undirected;1
790;721;Undirected;1
670;660;Undirected;1
817;838;Undirected;1
9;38;Undirected;1
600;517;Undirected;1
257;224;Undirected;1
818;842;Undirected;1
376;531;Undirected;1
139;134;Undirected;1
565;935;Undirected;1
975;612;Undirected;1
226;265;Undirected;1
983;921;Undirected;1
856;836;Undirected;1
764;774;Undirected;1
128;175;Undirected;1
194;815;Undirected;1
165;163;Undirected;1
916;989;Undirected;1
687;672;Undirected;1
574;585;Undirected;1
679;693;Undirected;1
594;568;Undirected;1
673;618;Undirected;1
904;922;Undirected;1
765;753;Undirected;1
761;729;Undirected;1
313;362;Undirected;1
119;138;Undirected;1
309;371;Undirected;1
488;473;Undirected;1
115;137;Undirected;1
181;178;Undirected;1
502;125;Undirected;1
338;375;Undirected;1
542;545;Undirected;1
833;604;Undirected;1
650;351;Undirected;1
437;449;Undirected;1
418;413;Undirected;1
519;596;Undirected;1
540;507;Undirected;1
578;566;Undirected;1
729;725;Undirected;1
476;408;Undirected;1
754;782;Undirected;1
704;730;Undirected;1
633;687;Undirected;1
66;17;Undirected;1
371;473;Undirected;1
986;940;Undirected;1
561;547;Undirected;1
542;517;Undirected;1
991;973;Undirected;1
713;706;Undirected;1
783;800;Undirected;1
994;976;Undirected;1
513;552;Undirected;1
464;484;Undirected;1
324;333;Undirected;1
244;230;Undirected;1
841;847;Undirected;1
533;600;Undirected;1
614;610;Undirected;1
292;297;Undirected;1
279;202;Undirected;1
776;800;Undirected;1
538;529;Undirected;1
830;824;Undirected;1
683;626;Undirected;1
87;35;Undirected;1
397;390;Undirected;1
300;202;Undirected;1
362;364;Undirected;1
412;430;Undirected;1
921;166;Undirected;1
144;137;Undirected;1
361;352;Undirected;1
800;713;Undirected;1
882;845;Undirected;1
538;558;Undirected;1
905;903;Undirected;1
608;607;Undirected;1
289;254;Undirected;1
593;539;Undirected;1
586;580;Undirected;1
515;587;Undirected;1
234;251;Undirected;1
154;112;Undirected;1
148;108;Undirected;1
740;776;Undirected;1
634;627;Undirected;1
997;952;Undirected;1
412;467;Undirected;1
943;908;Undirected;1
516;514;Undirected;1
213;280;Undirected;1
337;351;Undirected;1
980;941;Undirected;1
641;663;Undirected;1
442;487;Undirected;1
169;163;Undirected;1
742;430;Undirected;1
29;62;Undirected;1
563;505;Undirected;1
455;429;Undirected;1
261;287;Undirected;1
141;112;Undirected;1
71;2;Undirected;1
588;544;Undirected;1
55;24;Undirected;1
961;966;Undirected;1
700;654;Undirected;1
828;811;Undirected;1
705;769;Undirected;1
470;490;Undirected;1
352;350;Undirected;1
766;800;Undirected;1
334;304;Undirected;1
676;644;Undirected;1
617;644;Undirected;1
985;929;Undirected;1
861;849;Undirected;1
401;415;Undirected;1
141;159;Undirected;1
210;258;Undirected;1
687;621;Undirected;1
396;370;Undirected;1
544;501;Undirected;1
602;674;Undirected;1
236;262;Undirected;1
703;194;Undirected;1
275;250;Undirected;1
155;147;Undirected;1
578;544;Undirected;1
308;303;Undirected;1
973;937;Undirected;1
585;539;Undirected;1
790;280;Undirected;1
410;449;Undirected;1
251;249;Undirected;1
306;311;Undirected;1
598;508;Undirected;1
267;295;Undirected;1
510;597;Undirected;1
57;40;Undirected;1
684;637;Undirected;1
663;603;Undirected;1
261;255;Undirected;1
476;435;Undirected;1
976;941;Undirected;1
654;243;Undirected;1
822;871;Undirected;1
329;602;Undirected;1
819;863;Undirected;1
728;713;Undirected;1
180;116;Undirected;1
94;53;Undirected;1
774;760;Undirected;1
803;845;Undirected;1
396;327;Undirected;1
143;153;Undirected;1
502;182;Undirected;1
910;965;Undirected;1
44;2;Undirected;1
693;922;Undirected;1
618;676;Undirected;1
310;719;Undirected;1
63;72;Undirected;1
38;56;Undirected;1
721;745;Undirected;1
401;432;Undirected;1
228;237;Undirected;1
368;327;Undirected;1
511;507;Undirected;1
257;206;Undirected;1
648;609;Undirected;1
393;347;Undirected;1
166;109;Undirected;1
620;645;Undirected;1
922;967;Undirected;1
442;403;Undirected;1
272;182;Undirected;1
552;513;Undirected;1
920;262;Undirected;1
621;678;Undirected;1
188;183;Undirected;1
464;449;Undirected;1
317;338;Undirected;1
505;38;Undirected;1
3;97;Undirected;1
137;470;Undirected;1
427;406;Undirected;1
824;839;Undirected;1
340;354;Undirected;1
479;480;Undirected;1
388;318;Undirected;1
416;408;Undirected;1
576;574;Undirected;1
248;225;Undirected;1
191;120;Undirected;1
532;533;Undirected;1
282;218;Undirected;1
426;475;Undirected;1
21;32;Undirected;1
658;623;Undirected;1
477;423;Undirected;1
763;733;Undirected;1
118;104;Undirected;1
416;430;Undirected;1
212;262;Undirected;1
266;250;Undirected;1
929;978;Undirected;1
786;744;Undirected;1
860;864;Undirected;1
105;195;Undirected;1
827;841;Undirected;1
662;635;Undirected;1
472;662;Undirected;1
32;371;Undirected;1
753;800;Undirected;1
688;613;Undirected;1
674;670;Undirected;1
65;92;Undirected;1
334;354;Undirected;1
821;847;Undirected;1
742;787;Undirected;1
267;277;Undirected;1
930;407;Undirected;1
201;206;Undirected;1
374;324;Undirected;1
603;688;Undirected;1
406;409;Undirected;1
967;916;Undirected;1
254;248;Undirected;1
748;231;Undirected;1
347;382;Undirected;1
946;959;Undirected;1
383;417;Undirected;1
635;642;Undirected;1
541;521;Undirected;1
341;331;Undirected;1
916;950;Undirected;1
461;433;Undirected;1
892;839;Undirected;1
683;691;Undirected;1
756;759;Undirected;1
168;109;Undirected;1
955;964;Undirected;1
954;986;Undirected;1
914;943;Undirected;1
641;693;Undirected;1
857;47;Undirected;1
667;609;Undirected;1
90;66;Undirected;1
644;661;Undirected;1
270;231;Undirected;1
936;914;Undirected;1
296;216;Undirected;1
412;436;Undirected;1
719;750;Undirected;1
928;934;Undirected;1
399;374;Undirected;1
276;171;Undirected;1
245;292;Undirected;1
627;601;Undirected;1
131;136;Undirected;1
562;900;Undirected;1
777;548;Undirected;1
431;117;Undirected;1
851;868;Undirected;1
970;995;Undirected;1
442;496;Undirected;1
814;851;Undirected;1
200;169;Undirected;1
991;984;Undirected;1
944;905;Undirected;1
110;167;Undirected;1
304;368;Undirected;1
814;850;Undirected;1
368;318;Undirected;1
849;861;Undirected;1
244;237;Undirected;1
747;794;Undirected;1
63;74;Undirected;1
57;55;Undirected;1
528;578;Undirected;1
617;640;Undirected;1
447;442;Undirected;1
101;768;Undirected;1
590;555;Undirected;1
136;107;Undirected;1
698;397;Undirected;1
746;756;Undirected;1
789;794;Undirected;1
245;226;Undirected;1
51;92;Undirected;1
69;16;Undirected;1
637;366;Undirected;1
308;362;Undirected;1
324;373;Undirected;1
371;304;Undirected;1
745;786;Undirected;1
812;826;Undirected;1
582;561;Undirected;1
929;936;Undirected;1
589;554;Undirected;1
245;536;Undirected;1
202;284;Undirected;1
857;502;Undirected;1
63;83;Undirected;1
264;644;Undirected;1
941;999;Undirected;1
26;60;Undirected;1
62;57;Undirected;1
201;203;Undirected;1
935;971;Undirected;1
368;335;Undirected;1
521;563;Undirected;1
387;337;Undirected;1
635;667;Undirected;1
199;176;Undirected;1
811;848;Undirected;1
456;448;Undirected;1
773;752;Undirected;1
832;841;Undirected;1
421;490;Undirected;1
703;733;Undirected;1
755;759;Undirected;1
399;345;Undirected;1
438;429;Undirected;1
440;724;Undirected;1
598;547;Undirected;1
434;487;Undirected;1
385;356;Undirected;1
628;207;Undirected;1
182;126;Undirected;1
504;600;Undirected;1
75;88;Undirected;1
194;118;Undirected;1
275;205;Undirected;1
687;629;Undirected;1
641;694;Undirected;1
689;636;Undirected;1
717;704;Undirected;1
240;210;Undirected;1
14;47;Undirected;1
685;655;Undirected;1
953;530;Undirected;1
175;189;Undirected;1
958;978;Undirected;1
365;323;Undirected;1
570;550;Undirected;1
582;600;Undirected;1
953;911;Undirected;1
802;805;Undirected;1
777;704;Undirected;1
400;557;Undirected;1
851;844;Undirected;1
809;846;Undirected;1
973;746;Undirected;1
431;437;Undirected;1
107;117;Undirected;1
431;555;Undirected;1
548;542;Undirected;1
279;227;Undirected;1
596;512;Undirected;1
764;746;Undirected;1
517;511;Undirected;1
587;593;Undirected;1
734;711;Undirected;1
126;132;Undirected;1
206;209;Undirected;1
586;545;Undirected;1
263;290;Undirected;1
725;787;Undirected;1
276;878;Undirected;1
473;432;Undirected;1
621;667;Undirected;1
310;751;Undirected;1
825;801;Undirected;1
981;549;Undirected;1
100;82;Undirected;1
157;144;Undirected;1
441;427;Undirected;1
121;172;Undirected;1
758;727;Undirected;1
390;376;Undirected;1
955;983;Undirected;1
114;183;Undirected;1
771;777;Undirected;1
430;481;Undirected;1
637;658;Undirected;1
840;351;Undirected;1
203;265;Undirected;1
36;17;Undirected;1
578;561;Undirected;1
543;579;Undirected;1
726;761;Undirected;1
626;652;Undirected;1
941;951;Undirected;1
576;100;Undirected;1
395;309;Undirected;1
345;352;Undirected;1
502;586;Undirected;1
911;957;Undirected;1
507;506;Undirected;1
862;11;Undirected;1
614;642;Undirected;1
830;202;Undirected;1
354;368;Undirected;1
380;378;Undirected;1
347;900;Undirected;1
547;513;Undirected;1
519;531;Undirected;1
599;522;Undirected;1
228;297;Undirected;1
339;340;Undirected;1
533;526;Undirected;1
516;502;Undirected;1
187;180;Undirected;1
986;963;Undirected;1
201;9;Undirected;1
12;52;Undirected;1
711;746;Undirected;1
612;682;Undirected;1
792;721;Undirected;1
973;790;Undirected;1
13;58;Undirected;1
831;813;Undirected;1
554;514;Undirected;1
263;262;Undirected;1
751;731;Undirected;1
964;939;Undirected;1
633;662;Undirected;1
760;756;Undirected;1
131;112;Undirected;1
956;954;Undirected;1
332;352;Undirected;1
528;568;Undirected;1
973;968;Undirected;1
224;285;Undirected;1
948;924;Undirected;1
194;169;Undirected;1
649;617;Undirected;1
128;119;Undirected;1
51;55;Undirected;1
75;81;Undirected;1
106;122;Undirected;1
398;347;Undirected;1
655;647;Undirected;1
427;435;Undirected;1
870;839;Undirected;1
891;711;Undirected;1
404;419;Undirected;1
922;943;Undirected;1
179;104;Undirected;1
240;161;Undirected;1
104;151;Undirected;1
942;945;Undirected;1
770;709;Undirected;1
766;738;Undirected;1
663;678;Undirected;1
201;213;Undirected;1
833;841;Undirected;1
421;411;Undirected;1
938;949;Undirected;1
723;709;Undirected;1
151;183;Undirected;1
759;734;Undirected;1
415;412;Undirected;1
623;682;Undirected;1
195;164;Undirected;1
559;595;Undirected;1
893;827;Undirected;1
995;954;Undirected;1
290;296;Undirected;1
356;358;Undirected;1
664;649;Undirected;1
875;849;Undirected;1
391;343;Undirected;1
233;293;Undirected;1
352;328;Undirected;1
875;888;Undirected;1
127;196;Undirected;1
763;981;Undirected;1
759;790;Undirected;1
752;734;Undirected;1
897;853;Undirected;1
418;450;Undirected;1
246;273;Undirected;1
110;414;Undirected;1
823;878;Undirected;1
458;444;Undirected;1
728;772;Undirected;1
834;867;Undirected;1
167;165;Undirected;1
496;473;Undirected;1
396;381;Undirected;1
501;598;Undirected;1
196;120;Undirected;1
399;352;Undirected;1
833;809;Undirected;1
218;277;Undirected;1
715;707;Undirected;1
650;605;Undirected;1
74;19;Undirected;1
52;6;Undirected;1
970;956;Undirected;1
732;809;Undirected;1
157;191;Undirected;1
94;97;Undirected;1
149;156;Undirected;1
387;542;Undirected;1
996;980;Undirected;1
742;16;Undirected;1
340;397;Undirected;1
791;828;Undirected;1
946;942;Undirected;1
68;83;Undirected;1
895;883;Undirected;1
717;715;Undirected;1
537;505;Undirected;1
971;996;Undirected;1
216;272;Undirected;1
833;824;Undirected;1
908;994;Undirected;1
4;61;Undirected;1
957;962;Undirected;1
889;829;Undirected;1
463;449;Undirected;1
809;854;Undirected;1
105;129;Undirected;1
339;364;Undirected;1
292;258;Undirected;1
586;570;Undirected;1
808;809;Undirected;1
67;70;Undirected;1
749;742;Undirected;1
928;964;Undirected;1
516;517;Undirected;1
184;152;Undirected;1
159;181;Undirected;1
935;960;Undirected;1
319;369;Undirected;1
422;488;Undirected;1
241;288;Undirected;1
456;451;Undirected;1
87;62;Undirected;1
996;966;Undirected;1
334;740;Undirected;1
515;599;Undirected;1
219;245;Undirected;1
637;602;Undirected;1
183;143;Undirected;1
418;473;Undirected;1
318;379;Undirected;1
157;113;Undirected;1
48;57;Undirected;1
749;703;Undirected;1
375;311;Undirected;1
695;608;Undirected;1
853;801;Undirected;1
853;832;Undirected;1
416;411;Undirected;1
59;71;Undirected;1
988;335;Undirected;1
128;104;Undirected;1
971;986;Undirected;1
181;200;Undirected;1
766;854;Undirected;1
541;506;Undirected;1
414;25;Undirected;1
426;500;Undirected;1
466;411;Undirected;1
918;929;Undirected;1
16;72;Undirected;1
29;22;Undirected;1
41;80;Undirected;1
242;256;Undirected;1
524;586;Undirected;1
632;618;Undirected;1
649;693;Undirected;1
45;76;Undirected;1
625;632;Undirected;1
487;441;Undirected;1
600;506;Undirected;1
325;305;Undirected;1
116;170;Undirected;1
443;492;Undirected;1
181;108;Undirected;1
409;402;Undirected;1
846;870;Undirected;1
50;19;Undirected;1
471;438;Undirected;1
863;860;Undirected;1
856;827;Undirected;1
405;479;Undirected;1
971;958;Undirected;1
553;569;Undirected;1
912;929;Undirected;1
815;871;Undirected;1
554;548;Undirected;1
500;413;Undirected;1
63;94;Undirected;1
214;273;Undirected;1
201;287;Undirected;1
742;711;Undirected;1
866;460;Undirected;1
250;239;Undirected;1
180;191;Undirected;1
541;555;Undirected;1
918;979;Undirected;1
542;506;Undirected;1
96;7;Undirected;1
650;643;Undirected;1
770;738;Undirected;1
40;14;Undirected;1
848;860;Undirected;1
342;370;Undirected;1
329;364;Undirected;1
660;656;Undirected;1
670;615;Undirected;1
705;739;Undirected;1
341;368;Undirected;1
204;294;Undirected;1
347;311;Undirected;1
